date,1. open,2. high,3. low,4. close,5. volume
2018-01-19,840.5132,849.9484,840.5132,847.2136,1212148.0
2018-01-18,847.806,847.806,830.4854,838.0518,715034.0
2018-01-17,843.248,846.5754,827.7504,842.929,727471.0
2018-01-16,865.1268,865.1268,838.6898,841.8806,967811.0
2018-01-15,866.2208,872.9212,861.6626,863.8506,899234.0
2018-01-12,858.7456,867.725,855.1902,863.0758,1204015.0
2018-01-11,858.5176,859.4292,852.3642,854.3698,542942.0
2018-01-10,861.4804,863.0758,852.7288,858.2898,711511.0
2018-01-09,846.94,860.5232,842.3364,857.7428,1048394.0
2018-01-08,842.4276,847.9884,841.9718,846.393,671445.0
2018-01-05,839.1456,844.0228,838.1884,841.4248,821112.0
2018-01-04,837.7782,840.3308,835.0434,838.9178,482391.0
2018-01-03,842.7466,845.2536,832.582,835.3624,1041326.0
2018-01-02,834.1318,837.9606,827.0668,830.85,3559603.0
2018-01-01,840.5132,841.4248,829.3002,830.9868,489956.0
